WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C103215114301,Fic Non Fic Pic,3/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447226185,Book,Main Market Ed.,Paperback,B Format,Paperback,,160,
C103594120932,Fic Non Fic Pic,3/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217794,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,400,
C103460122530,Picador,3/7/2026,,No,No,,Acquired,Pan,Pan Editor,9781447242734,Book,Main Market Ed.,Paperback,,Paperback,,320,
C103404113343,Picador,3/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447239390,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103482103429,Picador,16/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447243304,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,400,
14493,Fic Non Fic Pic,17/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447274858,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
C103748153306,Fic Non Fic Pic,17/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266068,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
C103748153306,Fic Non Fic Pic,17/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266082,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,304,
C103730115342,Picador,17/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447264705,EBook,Ebook,,epub,E-Books,Fiction High,384,
C103730115342,Picador,17/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447264354,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
15555,Fic Non Fic Pic,17/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273493,Book,Main Market Ed.,Paperback,B Format,Paperback,,608,
C103404144506,Picador,31/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447231387,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,176,
C103706161059,Fic Non Fic Pic,31/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447263029,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103594105231,Fic Non Fic Pic,31/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447248026,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,352,
C103706161059,Fic Non Fic Pic,31/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447267355,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,288,
C103613160419,Fic Non Fic Pic,31/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447253860,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,96,
C103355100611,Fic Non Fic Pic,31/7/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447236900,Book,Main Market Ed.,Paperback,300 x 235,Paperback,,32,
C103222142423,Picador,31/7/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447280972,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103404144506,Picador,31/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447239451,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C100609095832,Picador,31/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447250722,Book,Main Market Ed.,Paperback,B Format,Paperback,,144,
C100140103103,Picador,31/7/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447260455,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103236154139,Picador,31/7/2026,,No,No,,Acquired,Picador,Picador Editor,9781447227915,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,352,
C102137150139,Mantle,14/8/2026,,No,No,,Acquired,Pan,Pan Editor,9780330512794,Book,Main Market Ed.,Paperback,B Format,Paperback,,608,
49160,Tor,14/8/2026,,No,No,,Acquired,Tor,Tor Editor,9781447277866,EBook,Ebook,,epub,E-Books,,100,
C103727165644,Mantle,14/8/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447264446,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,320,
C103646165209,Fic Non Fic Pic,14/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447256120,EBook,Ebook,,"EPUB, Fixed",Dig Ed Adobe,MCB High,256,
C103586155837,Tor,14/8/2026,,No,No,,Acquired,Tor,Tor Editor,9781447253242,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
50135,Gen Non-Fiction,14/8/2026,,No,No,,Acquired,Pan,,9781447286271,EBook,Ebook,,epub,E-Books,On Demand,304,
C101961154151,Tor,14/8/2026,,No,No,,Acquired,Tor,Tor Editor,9780330508797,Book,Main Market Ed.,Paperback,B Format,Paperback,,500,
C103538095720,Picador,14/8/2026,,No,No,,Acquired,Picador,Picador Editor,9781447247807,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
C103625160144,Picador,14/8/2026,,No,No,,Acquired,Picador,Picador Editor,9781447254430,EBook,Ebook,,,Dig Ed Adobe,On Demand,256,
C103681094527,Fic Non Fic Pic,19/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447260653,EBook,Ebook,,epub,Dig Ed Adobe,,96,
C103682153339,Fic Non Fic Pic,28/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447260837,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,528,
C103667105508,Mantle,28/8/2026,,No,No,,Acquired,Pan,Pan Editor,9781447259077,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
50083,Fic Non Fic Pic,28/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447276845,EBook,Ebook,,epub,E-Books,On Demand,272,
C103751161156,Gen Non-Fiction,28/8/2026,,No,No,,Acquired,Pan,Pan Editor,9781447266211,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
C101032102916,Picador,28/8/2026,,No,No,,Acquired,Picador,Picador Editor,9781447250708,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
C103191100054,Picador,28/8/2026,,No,No,,Acquired,Picador,Picador Editor,9781447224907,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103751161156,Gen Non-Fiction,28/8/2026,,No,No,,Acquired,Pan,Pan Editor,9781447266228,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,256,
50626,Tor,28/8/2026,,No,No,,Acquired,Pan,Pan Editor,9781447287414,EBook,Ebook,,epub,E-Books,,100,
C103396113750,Fic Non Fic Pic,28/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241515,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,208,
49165,Fic Non Fic Pic,28/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447271833,EBook,Ebook,,epub,E-Books,MCB High,224,
C103396113750,Fic Non Fic Pic,28/8/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447238973,Book,Main Market Ed.,Paperback,B Format,Paperback,Standard Ebook,368,
C103723135213,Gen Non-Fiction,9/9/2026,,No,No,,Acquired,Pan,Pan Editor,9781447264231,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,288,
C103793095512,Picador,10/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447269007,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,384,
C103712143111,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447263463,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,96,
50117,Macmillan Bus,11/9/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447276487,EBook,Ebook,,epub,E-Books,Non-Fiction Low,304,
C103187091137,Bluebird,11/9/2026,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447252108,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,352,
50172,Bluebird,11/9/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447282945,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
50112,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447274513,EBook,Ebook,,epub,E-Books,Fiction High,64,
C103460100740,Tor,11/9/2026,,No,No,,Acquired,Pan,Pan Editor,9780230772717,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
C103241152637,Fic Non Fic Pic,11/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447228066,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,336,
C103593165659,Fic Non Fic Pic,11/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447223436,Book,Main Market Ed.,Paperback,270 x 216,Paperback,,32,
C103060131445,Fic Non Fic Pic,11/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273028,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
C103648130044,Fic Non Fic Pic,11/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447272991,Book,Main Market Ed.,Paperback,B Format,Paperback,,96,
C102744114015,Tor,11/9/2026,,No,No,,Acquired,Pan,Pan Editor,9780330545761,Book,Main Market Ed.,Paperback,B Format,Paperback,,672,
C103220141937,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447226772,Book,Main Market Ed.,Paperback,Royal,Paperback,,608,
C103285151903,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447231554,Book,Main Market Ed.,Hardback,Demy,Hardback,,272,
50172,Bluebird,11/9/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447287445,Audio Book,Main Market Ed.,CD,Capbox,Compact Disc,,,
50172,Bluebird,11/9/2026,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447277675,EBook,Ebook,,epub,E-Books,Non-Fiction High,240,
C101429152725,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447261711,Book,Main Market Ed.,Paperback,,Paperback,,272,
C103285151903,Picador,11/9/2026,,No,No,,Acquired,Picador,,9781447274056,EBook,Ebook,,epub,E-Books,Fiction High,272,
C100692111845,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447271437,Book,Main Market Ed.,Trade Paperback,Royal,Paperback,,416,
C103285151903,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447274049,Book,Main Market Ed.,Paperback,Other,Paperback,,272,
50112,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447274506,Book,Main Market Ed.,Hardback,Other,Hardback,,48,
50502,Picador,11/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447286189,EBook,Ebook,,epub,E-Books,Fiction Low,272,
C103523112102,Fic Non Fic Pic,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447246978,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,97,
C103706154722,Fic Non Fic Pic,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447262992,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,208,
C102926111754,Picador,25/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447228967,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103523111325,Fic Non Fic Pic,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447246947,EBook,Ebook,,,Dig Ed Adobe,MCB High,97,
C101458145529,Picador,25/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447271703,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,512,
C103706154722,Fic Non Fic Pic,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447262985,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
50451,Gen Non-Fiction,25/9/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447286158,EBook,Ebook,,epub,E-Books,Non-Fiction Low,400,
C102873174045,Picador,25/9/2026,,No,No,,Acquired,Picador,Picador Editor,9781447218449,Book,Main Market Ed.,Hardback,250 x 250,Hardback,,48,
50231,Picador,25/9/2026,,No,No,,Acquired,Picador,,9781447279402,Book,Main Market Ed.,Paperback,B Format,Paperback,,144,
C103751153809,Presch Brand&Cl,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447266204,Board Book,Main Market Ed.,Board Book,Other,Hardback,,12,
C103793173012,Boxtree,25/9/2026,,No,No,,Acquired,Boxtree,Boxtree Editor,9781447269649,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,208,
50231,Picador,25/9/2026,,No,No,,Acquired,Picador,,9781447279419,EBook,Ebook,,epub,E-Books,Fiction Low,144,
17445,Fic Non Fic Pic,25/9/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230759824,Book,Main Market Ed.,Hardback,B Format,Hardback,,224,
C103594142824,Boxtree,25/9/2026,,No,No,,Acquired,Boxtree,Boxtree Editor,9781447267850,EBook,Ebook,,"EPUB3, Fixed",E-Books,Non-Fiction Low,96,
50018,Presch Brand&Cl,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273080,Book,Main Market Ed.,Hardback,B Format,Hardback,,192,
49148,Boxtree,9/10/2026,,No,No,,Acquired,Boxtree,Boxtree Editor,9780752265575,EBook,Ebook,,epub,Dig Ed Adobe,£3.99 fixed,144,
C103426135246,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447241225,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,128,
1088,Gen Non-Fiction,9/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447268093,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,160,
50096,Mantle,9/10/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447275626,EBook,Ebook,,epub,E-Books,Fiction Low,400,
C103426135246,Picador,9/10/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447263913,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C103745123303,Mantle,9/10/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447265924,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,160,
17445,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273110,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB High,224,
50017,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273073,Book,Main Market Ed.,Hardback,B Format,Hardback,,320,
50276,Fic Non Fic Pic,9/10/2026,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447278016,EBook,Ebook,,epub,E-Books,MCB High,160,
C103767112157,Tor,9/10/2026,,No,No,,Acquired,Pan,Pan Editor,9781447267287,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,352,
C103634134241,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447254928,Book,Main Market Ed.,Hardback,Demy,Hardback,,480,
C103753174946,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447265634,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
49188,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447272809,EBook,Ebook,,epub,E-Books,MCB High,400,
50019,Presch Brand&Cl,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447273097,Book,Main Market Ed.,Hardback,B Format,Hardback,,224,
C103753163106,Bluebird,9/10/2026,,No,No,,Acquired,Bluebird,Bluebird Editor,9781447266631,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,208,
C103753175351,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447265740,Book,New Edit/Cover,Paperback,B Format,Paperback,,208,
9928,Picador,9/10/2026,,No,No,,Acquired,Picador,,9781447275374,EBook,Ebook,,epub,E-Books,Fiction High,224,
C103620162211,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447254133,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,432,
C102711162828,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447250500,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,456,
C103293151703,Tor,9/10/2026,,No,No,,Acquired,Tor,Tor Editor,9780230769472,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,750,
C101996160828,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447265696,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C102794170727,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230766389,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB High,192,
C103563121814,Gen Non-Fiction,9/10/2026,,No,No,,Acquired,Macmillan,,9781447276661,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,256,
C103620162211,Picador,9/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447277767,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103634134241,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447254942,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,480,
49146,Fic Non Fic Pic,9/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447271024,EBook,Ebook,,epub,E-Books,MCB High,224,
49133,Gen Non-Fiction,9/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447272861,EBook,Ebook,,epub,E-Books,Non-Fiction Low,256,
C103426135246,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447241218,Book,Main Market Ed.,Paperback,S format,Paperback,,128,
C103334162347,Tor,9/10/2026,,No,No,,Acquired,Tor,Tor Editor,9781447235828,Book,Main Market Ed.,Paperback,B Format,Paperback,,592,
C103793113608,Picador,9/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447269151,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,192,
50134,Gen Non-Fiction,14/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447278610,EBook,Ebook,,"EPUB3, Fixed",E-Books,Non-Fiction Low,320,
49162,Fic Non Fic Pic,16/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447270966,EBook,Ebook,,epub,E-Books,MCB High,288,
C103584165856,Picador,16/10/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447260462,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103702140114,Gen Non-Fiction,16/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447262596,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,300,
49157,Picador,23/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447271512,EBook,Ebook,,"EPUB3, Fixed",Hardback,Fiction High,64,
C103058121616,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291558,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
50032,Tor,23/10/2026,,No,No,,Acquired,Pan,Pan Editor,9781447275756,EBook,Ebook,,epub,E-Books,Fiction Low,352,
C103317115019,Gen Non-Fiction,23/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9780230770157,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
C103094165531,Tor,23/10/2026,,No,No,,Acquired,Pan,Pan Editor,9781447249412,EBook,Ebook,,epub,Dig Ed Adobe,,400,
50392,Picador,23/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447281979,Book,Main Market Ed.,Paperback,B Format,Paperback,,272,
C100955104119,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291695,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
50392,Picador,23/10/2026,,No,No,,Acquired,Picador,Picador Editor,9781447282266,EBook,Ebook,,epub,E-Books,Non-Fiction High,272,
C103573110920,Fic Non Fic Pic,23/10/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447250364,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,432,
C100290102451,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291565,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C103058121504,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291541,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C103417103814,Tor,23/10/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9780230772144,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,400,
C102059121653,Mantle,23/10/2026,,No,No,,Acquired,Mantle,Mantle Editor,9780230761292,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,450,
C102059121653,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447262053,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
50032,Tor,23/10/2026,,No,No,,Acquired,Pan,Pan Editor,9781447275749,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
C100955111131,Mantle,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291701,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C103293151703,Tor,23/10/2026,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447262046,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
50096,Mantle,6/11/2026,,No,No,,Acquired,Mantle,Mantle Editor,9781447275596,Book,Main Market Ed.,Hardback,Royal,Hardback,,400,
50096,Mantle,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447280934,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C102674120248,Fic Non Fic Pic,6/11/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220152,Book,Main Market Ed.,Paperback,Other,Paperback,,24,
15425,Tor,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291688,Audio Digital Download,New Edit/Cover,,,Audio Download,,,
15424,Tor,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291671,Audio Digital Download,New Edit/Cover,,MP3 Format,Audio Download,,,
C103479181331,Picador,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291572,Audio Digital Download,New Edit/Cover,,MP3 Format,Audio Download,,,
C103573142806,Fic Non Fic Pic,6/11/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447250470,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,368,
C100721154253,Tor,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291657,Audio Digital Download,New Edit/Cover,,,Audio Download,,,
50429,Picador,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447285908,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C103342141838,Macmillan Bus,6/11/2026,,No,No,,Acquired,Pan,Pan Editor,9781447285342,Book,Main Market Ed.,Paperback,B Format,Paperback,,272,
50429,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447283294,EBook,Ebook,,epub,E-Books,Non-Fiction High,288,
C100720172310,Tor,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291640,Audio Digital Download,New Edit/Cover,,MP3 Format,Audio Download,,,
C103537150642,Tor,6/11/2026,,No,No,,Acquired,Tor,Tor Editor,9781447247685,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
49157,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447271505,Book,Main Market Ed.,Hardback,180 x 180,Hardback,,48,
50485,Tor,6/11/2026,,No,No,,Acquired,Tor,Tor Editor,9781447285069,EBook,Ebook,,epub,E-Books,,100,
C103670175024,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447259435,Book,Main Market Ed.,Paperback,S format,Paperback,,128,
C103479182041,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447288947,Book,Main Market Ed.,Paperback,B Format,Paperback,,432,
C100724174446,Tor,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291664,Audio Digital Download,New Edit/Cover,,MP3 Format,Audio Download,,,
C103479182041,Picador,6/11/2026,,No,No,,Acquired,Macmillan Digital Audio,,9781447291633,Audio Digital Download,New Edit/Cover,,MP3 Format,Audio Download,,,
C103670175024,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447259442,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,128,
C103479181331,Picador,6/11/2026,,No,No,,Acquired,Picador,Picador Editor,9781447288930,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C103573142806,Fic Non Fic Pic,6/11/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447250463,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
50423,Bluebird,20/11/2026,,No,No,,Acquired,Boxtree,Boxtree Editor,9780752265605,Book,Main Market Ed.,Paperback,B Format,Paperback,,224,
50423,Bluebird,20/11/2026,,No,No,,Acquired,Bluebird,Bluebird Editor,9780752265612,EBook,Ebook,,epub,E-Books,Non-Fiction Low,224,
C101805115357,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447295006,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
50002,Picador,4/12/2026,,No,No,,Acquired,Picador,Picador Editor,9781447273141,EBook,Ebook,,epub,E-Books,Fiction High,112,
C102351163820,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447269960,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
C103011110100,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447292982,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,24,
C102768175837,Tor,4/12/2026,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447249375,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,400,
C102827165706,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447269946,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
C103032101006,Fic Non Fic Pic,4/12/2026,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447294467,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,24,
